LONGITUDE;LATITUDE;CODE_COMMUNE;CODE_POSTAL;COMMUNE
6.465;46.1392;74241;74490;ST JEOIRE
2.2129;48.55;91085;91790;BOISSY SOUS ST YON
6.6616;44.1724;04061;04370;COLMARS
2.81;45.5761;63236;63240;MONT DORE
3.55;50.3452;59383;59770;MARLY
7.6855;48.8703;67291;67580;MERTZWILLER
9.4368;42.92;2B159;20287;MERIA
2.1923;48.8076;92022;92370;CHAVILLE
6.3848;44.339;04205;04140;SEYNE
-0.8831;43.2166;64371;64130;MAULEON LICHARRE
0.9007;48.4358;61061;61110;BRETONCELLES
3.1371;48.8254;77042;77169;BOISSY LE CHATEL
-2.1094;46.8424;85164;85690;NOTRE DAME DE MONTS
3.1767;43.2144;11145;11560;FLEURY
3.1767;43.2144;11145;11560;FLEURY
0.332;43.107;65127;65130;CAPVERN
-1.1026;49.3058;14342;14230;ISIGNY SUR MER
5.0241;47.6737;21304;21580;GRANCEY LE CHATEAU NEUVELLE
5.0241;47.6737;21304;21580;GRANCEY LE CHATEAU NEUVELLE
3.0171;42.7263;66182;66470;STE MARIE
2.5025;49.3149;60013;60940;ANGICOURT
4.649;48.6129;51513;51290;ST REMY EN BOUZEMONT ST GENEST ISSON
8.8338;42.0648;2A270;20151;SARI D ORCINO
9.425;42.6865;2B033;20600;BASTIA
9.425;42.6865;2B033;20200;BASTIA
9.425;42.6865;2B033;20200;BASTIA
2.3787;48.8594;75111;75011;PARIS 11
0.1231;49.3911;14755;14113;VILLERVILLE
2.3375;48.8769;75109;75009;PARIS 09
6.0257;44.7935;05142;05800;ST FIRMIN
5.629;44.8247;38113;38930;CLELLES
2.3441;48.8679;75102;75002;PARIS 02
2.3126;48.8725;75108;75008;PARIS 08
3.0283;42.8128;66017;66420;LE BARCARES
3.0283;42.8128;66017;66420;LE BARCARES
3.4394;50.2425;59558;59227;SAULZOIR
-3.2059;48.0663;56073;56160;GUEMENE SUR SCORFF
-2.8476;48.2806;22384;22460;UZEL
4.042;48.3033;10265;10420;LES NOES PRES TROYES
7.3398;48.1394;68026;68630;BENNWIHR
7.3398;48.1394;68026;68126;BENNWIHR
-0.5742;43.3978;64061;64170;ARTIX
6.5366;45.4857;73181;73600;MOUTIERS
5.6831;49.5361;54234;54730;GORCY
3.1727;43.3825;34140;34490;LIGNAN SUR ORB
3.2893;43.2476;34324;34350;VALRAS PLAGE
4.0535;49.2171;51172;51350;CORMONTREUIL
4.7433;45.7797;69044;69260;CHARBONNIERES LES BAINS
2.3879;48.6569;91286;91350;GRIGNY
1.451;50.0737;80714;80880;ST QUENTIN LA MOTTE CROIX AU BAILLY
3.927;47.0627;58062;58120;CHATEAU CHINON VILLE
6.0994;49.2397;57019;57360;AMNEVILLE
6.0994;49.2397;57019;57360;AMNEVILLE
2.3625;48.8287;75113;75013;PARIS 13
2.2621;48.8604;75116;75116;PARIS 16
2.2621;48.8604;75116;75016;PARIS 16
2.3611;48.876;75110;75010;PARIS 10
2.3594;48.8631;75103;75003;PARIS 03
2.3487;48.8927;75118;75018;PARIS 18
2.4008;48.8632;75120;75020;PARIS 20
5.381;43.2871;13206;13006;MARSEILLE 06
5.3747;43.2417;13208;13008;MARSEILLE 08
5.3747;43.2417;13208;13008;MARSEILLE 08
5.3747;43.2417;13208;13008;MARSEILLE 08
5.4524;43.2342;13209;13009;MARSEILLE 09
5.4524;43.2342;13209;13009;MARSEILLE 09
5.4524;43.2342;13209;13009;MARSEILLE 09
5.4337;43.3493;13213;13013;MARSEILLE 13
5.4337;43.3493;13213;13013;MARSEILLE 13
5.4337;43.3493;13213;13013;MARSEILLE 13
5.4337;43.3493;13213;13013;MARSEILLE 13
5.4337;43.3493;13213;13013;MARSEILLE 13
5.4337;43.3493;13213;13013;MARSEILLE 13
5.3138;43.3646;13216;13016;MARSEILLE 16
5.3138;43.3646;13216;13016;MARSEILLE 16
4.8262;45.7493;69382;69002;LYON 02
4.824;45.7787;69384;69004;LYON 04
4.8023;45.7558;69385;69005;LYON 05
4.8376;45.7334;69387;69007;LYON 07
4.8082;45.7818;69389;69009;LYON 09
6.8439;48.3643;88165;88480;ETIVAL CLAIREFONTAINE
7.7296;48.4832;67131;67114;ESCHAU
5.7522;44.8148;38226;38710;MENS
5.7522;44.8148;38226;38710;MENS
5.59;46.7624;39199;39210;DOMBLANS
-0.17;44.9;33394;33330;ST EMILION
4.7487;44.5541;26198;26200;MONTELIMAR
2.1481;43.2;11254;11290;MONTREAL
1.276;44.4858;46182;46140;LUZECH
2.56;44.3826;12176;12850;ONET LE CHATEAU
2.56;44.3826;12176;12850;ONET LE CHATEAU
4.0043;43.5928;34154;34280;MAUGUIO
4.0043;43.5928;34154;34130;MAUGUIO
2.9824;47.2802;58215;58150;POUILLY SUR LOIRE
3.1769;45.3178;43033;43450;BLESLE
-1.0797;45.5384;33544;33123;LE VERDON SUR MER
-0.6123;44.9232;33056;33290;BLANQUEFORT
7.0377;49.0542;57289;57910;HAMBACH
4.3591;48.3314;10287;10220;PINEY
4.9507;46.7242;71336;71370;OUROUX SUR SAONE
5.5006;43.4911;13060;13590;MEYREUIL
4.9926;43.4232;13077;13110;PORT DE BOUC
1.7631;45.2069;19203;19490;STE FORTUNADE
3.7075;43.7926;34274;34380;ST MARTIN DE LONDRES
2.2494;45.1304;15153;15700;PLEAUX
2.2494;45.1304;15153;15700;PLEAUX
2.2494;45.1304;15153;15700;PLEAUX
2.2494;45.1304;15153;15700;PLEAUX
2.305;44.8564;15196;15220;ST MAMET LA SALVETAT
2.441;42.4201;66150;66230;PRATS DE MOLLO LA PRESTE
2.441;42.4201;66150;66230;PRATS DE MOLLO LA PRESTE
-3.3651;47.8651;56040;56620;CLEGUER
5.3729;45.9608;01004;01500;AMBERIEU EN BUGEY
4.8142;45.5798;38087;38670;CHASSE SUR RHONE
-1.6765;47.8303;35012;35470;BAIN DE BRETAGNE
0.5173;43.2362;65315;65670;MONLEON MAGNOAC
-0.4308;44.9221;33433;33450;ST LOUBES
3.4098;48.0088;89206;89300;JOIGNY
1.814;45.1413;19004;19380;ALBUSSAC
6.0722;46.2583;01313;01280;PREVESSIN MOENS
6.0722;46.2583;01313;01280;PREVESSIN MOENS
1.3407;46.0371;87122;87640;RAZES
1.7011;50.8126;62560;62250;MARQUISE
5.3388;47.8592;52269;52200;LANGRES
5.3388;47.8592;52269;52200;LANGRES
-0.9442;44.7139;33019;33980;AUDENGE
-2.6234;47.8257;56172;56420;PLUMELEC
0.4844;49.5755;76114;76210;BOLBEC
5.5889;46.4001;39016;39240;ARINTHOD
1.065;43.2863;31193;31430;LE FOUSSERET
-0.2515;47.053;79014;79290;ARGENTON L EGLISE
-0.2515;47.053;79014;79290;ARGENTON L EGLISE
0.7585;48.225;61079;61260;CETON
-0.5166;45.2294;33351;33860;REIGNAC
-0.4713;48.0506;53267;53480;VAIGES
2.6213;42.3968;66179;66260;ST LAURENT DE CERDANS
-2.77;48.5442;22187;22190;PLERIN
-2.77;48.5442;22187;22190;PLERIN
-2.77;48.5442;22187;22190;PLERIN
3.6855;44.1476;30231;30940;ST ANDRE DE VALBORGNE
2.6207;50.6933;59615;59232;VIEUX BERQUIN
-0.6346;48.4936;61075;61330;CEAUCE
6.103;45.7071;73146;73340;LESCHERAINES
4.8907;46.6369;71512;71240;SENNECEY LE GRAND
1.3995;49.0222;27448;27120;PACY SUR EURE
5.2003;47.3382;21021;21560;ARC SUR TILLE
0.1442;48.1027;72024;72650;LA BAZOGE
3.2733;47.461;58109;58410;ENTRAINS SUR NOHAIN
-0.9346;47.9459;53077;53230;COSSE LE VIVIEN
-0.416;47.9369;53017;53340;BALLEE
4.7507;47.6718;21004;21510;AIGNAY LE DUC
-2.3252;48.4167;22084;22270;JUGON LES LACS COMMUNE NOUVELLE
-2.3252;48.4167;22084;22270;JUGON LES LACS COMMUNE NOUVELLE
-2.3252;48.4167;22084;22270;JUGON LES LACS COMMUNE NOUVELLE
-2.3252;48.4167;22084;22270;JUGON LES LACS COMMUNE NOUVELLE
6.3636;47.8239;70311;70300;LUXEUIL LES BAINS
-2.3831;47.9222;56165;56800;PLOERMEL
1.7025;46.8403;36063;36130;DEOLS
3.9203;49.564;02720;02150;SISSONNE
5.8812;49.1496;54273;54800;JARNY
5.8812;49.1496;54273;54800;JARNY
0.0539;49.1466;14126;14340;CAMBREMER
0.0539;49.1466;14126;14340;CAMBREMER
0.0539;49.1466;14126;14340;CAMBREMER
0.0539;49.1466;14126;14340;CAMBREMER
3.5629;45.6303;63132;63590;CUNLHAT
5.3498;43.4496;13019;13480;CABRIES
5.3498;43.4496;13019;13480;CABRIES
2.3857;44.0155;81308;81340;VALENCE D ALBIGEOIS
5.8165;44.334;05070;05300;LARAGNE MONTEGLIN
3.5827;44.3162;48061;48400;FLORAC TROIS RIVIERES
3.5827;44.3162;48061;48400;FLORAC TROIS RIVIERES
3.0997;42.4615;66016;66650;BANYULS SUR MER
-0.0514;45.5961;16090;16120;CHATEAUNEUF SUR CHARENTE
5.8062;47.4029;70282;70700;GY
6.3781;43.9463;04022;04330;BARREME
6.2282;43.8383;04135;04360;MOUSTIERS STE MARIE
6.5212;43.1819;83036;83240;CAVALAIRE SUR MER
9.1866;41.9335;2A099;20148;COZZANO
6.6369;45.891;74083;74920;COMBLOUX
8.7305;42.1506;2A348;20118;VICO
8.7305;42.1506;2A348;20160;VICO
3.6862;48.0904;89069;89770;CHAILLEY
2.4917;45.3932;19028;19110;BORT LES ORGUES
3.8779;44.1072;30269;30270;ST JEAN DU GARD
9.2009;41.8078;2A254;20122;QUENZA
0.6965;47.3986;37261;37200;TOURS
0.6965;47.3986;37261;37100;TOURS
0.6965;47.3986;37261;37000;TOURS
1.8708;45.3655;19062;19800;CORREZE
6.2662;47.8785;70467;70800;ST LOUP SUR SEMOUSE
6.4829;44.6424;05036;05380;CHATEAUROUX LES ALPES
3.1278;44.2106;12200;12640;RIVIERE SUR TARN
3.1278;44.2106;12200;12640;RIVIERE SUR TARN
2.4786;50.8778;59663;59470;WORMHOUT
3.0252;49.07;77283;77145;MAY EN MULTIEN
-1.526;47.0597;44223;44140;GENESTON
3.0624;48.0219;45115;45320;COURTENAY
-2.3134;47.4472;44072;44410;HERBIGNAC
-2.3134;47.4472;44072;44410;HERBIGNAC
-2.6468;47.6357;56251;56450;THEIX NOYALO
-2.6468;47.6357;56251;56450;THEIX NOYALO
0.5935;48.036;72118;72390;DOLLON
5.6571;45.1224;38111;38640;CLAIX
5.6414;48.616;55533;55140;VAUCOULEURS
-0.5625;48.7399;61169;61100;FLERS
4.7013;49.4;08490;08400;VOUZIERS
4.7013;49.4;08490;08400;VOUZIERS
-1.2787;48.613;50168;50220;DUCEY LES CHERIS
-1.2787;48.613;50168;50220;DUCEY LES CHERIS
6.6312;48.3459;88367;88700;RAMBERVILLERS
6.2213;48.686;54526;54510;TOMBLAINE
2.7139;43.0835;11351;11220;ST LAURENT DE LA CABRERISSE
-0.315;45.8637;17224;17160;MATHA
0.0365;45.7541;16320;16570;ST GENIS D HIERSAC
8.9901;42.5826;2B352;20279;VILLE DI PARASO
1.4268;43.0243;09042;09240;LA BASTIDE DE SEROU
0.4705;48.551;61029;61560;BAZOCHES SUR HOENE
-1.0601;43.7007;40088;40100;DAX
6.3824;48.0387;88530;88220;XERTIGNY
6.3824;48.0387;88530;88220;XERTIGNY
3.8569;44.1711;48148;48330;ST ETIENNE VALLEE FRANCAISE
