X	Y	gid	enquete_id	lon	lat
961525.027899999986	6556575.25405899994075	12	1	6.383816	46.058504
938567.612771	6532525.691905	13	1	6.074979	45.850573
984414.251135	6573403.220541	14	1	6.689729	46.200657
948851.57896499999333	6534691.747014	15	1	6.208524	45.866379
925814.28332	6546726.11117599997669	16	1	5.917510	45.982711
949456.481992	6539104.81766899954528	17	1	6.218632	45.905864
940021.72589	6543265.1160399997607	18	1	6.099133	45.946695
962599.55977199994959	6557250.5056119998917	19	1	6.398078	46.064164
928395.03426099999342	6533056.73052799981087	20	1	5.944241	45.858842
957073.02450399997178	6565721.07309199962765	22	1	6.331271	46.142491
957764.338801	6565877.057744	54	1	6.340304	46.143631
955529.06975799996872	6571704.46117	26	1	6.314540	46.196908
953327.937551	6570265.532657	41	1	6.285245	46.184790
954820.70076599996537	6571726.257733	56	1	6.305374	46.197371
957053.19125599996187	6568670.050258	60	1	6.332626	46.169030
963808.91092099994421	6569849.9235399998724	33	1	6.420766	46.177044
940612.08929799997713	6562067.034376	21	1	6.116324	46.115664
964640.954029	6573955.075849	38	1	6.433855	46.213650
964118.861494999961	6571640.10713599994779	88	1	6.425787	46.193028
965447.14328399999067	6571578.32076099980623	105	1	6.442959	46.191952
949756.9881599999499	6568761.556082	39	1	6.238189	46.172586
949757.15401699999347	6566998.70779499970376	48	1	6.237254	46.156725
952132.169402	6564070.8410839997232	52	1	6.266435	46.129502
944036.26962699997239	6528738.007643	23	1	6.143451	45.814553
926716.394913	6548962.513855	24	1	5.930227	46.002535
935011.777276	6549234.371093	25	1	6.037473	46.002160
941088.74640199996065	6546059.24960299953818	27	1	6.114318	45.971458
928385.21524499997031	6535266.2199799995869	28	1	5.945176	45.878728
954732.6809699999867	6554996.579295	29	1	6.295183	46.046887
969212.566524	6563988.748141	30	1	6.487390	46.122188
953412.473493	6559962.295167	31	1	6.280792	46.092059
961138.81483299995307	6557710.37234899960458	32	1	6.379453	46.068865
953140.09467	6555262.04349999968	34	1	6.274747	46.049872
935437.942962	6560727.49588099960238	35	1	6.048708	46.105429
942561.40922	6545534.973104	36	1	6.133053	45.966217
980037.76974899997003	6543651.142562	37	1	6.615373	45.934852
943421.16057599999476	6550845.763917	40	1	6.146879	46.013694
940299.33882499998435	6559915.670192	42	1	6.111180	46.096418
927378.919053	6554297.0501849995926	43	1	5.941349	46.050317
948648.654692	6550268.33286499977112	44	1	6.214081	46.006603
979852.74730899999849	6543589.453572999686	45	1	6.612951	45.934373
958698.40059099998325	6560117.6863909997046	46	1	6.349230	46.091459
978474.35790499998257	6559224.368652	47	1	6.604388	46.075584
942271.48307299998123	6563439.01112699974328	49	1	6.138499	46.127417
931844.809312999947	6523673.23718599975109	50	1	5.984101	45.773238
940194.66486699995585	6544726.4682799996808	51	1	6.102104	45.959783
936452.37949399999343	6538144.85142599977553	53	1	6.050539	45.901874
953072.97330199996941	6524005.10265699960291	55	1	6.257210	45.768671
980438.51479899999686	6543826.45763	57	1	6.620643	45.936264
936124.24291499995161	6543271.25425899960101	58	1	6.048862	45.948116
954287.39042099996004	6559938.34012299962342	59	1	6.292093	46.091516
956350.21546199999284	6538536.55298699997365	61	1	6.307170	45.898187
980218.008781	6545251.758325	62	1	6.618643	45.949176
925907.81108599994332	6529447.28653599973768	63	1	5.910493	45.827192
962753.29170599998906	6550898.08274899981916	64	1	6.396531	46.006954
941855.61952099995688	6540439.87350799981505	66	1	6.121346	45.920623
963648.035516	6542562.1227399995551	67	1	6.403441	45.931612
954366.63300399994478	6538629.091408	68	1	6.281659	45.899764
959854.974606	6538733.840152	69	1	6.352439	45.898631
981428.309383	6555321.84477899968624	70	1	6.640241	46.039260
955693.292705	6558544.2212699996307	73	1	6.309517	46.078444
984688.04545099998359	6542852.57181899994612	75	1	6.674844	45.925736
934373.16717399994377	6528777.607431	76	1	6.019123	45.818304
964788.187519	6543173.45525399968028	77	1	6.418483	45.936669
942761.554373	6547442.09632899984717	78	1	6.136613	45.983305
918089.770184	6555870.239489	79	1	5.822017	46.067526
981775.503196	6538397.597504	80	1	6.634656	45.886876
934729.451261	6552421.64957499969751	81	1	6.035410	46.030937
982269.084119	6571294.335864	83	1	6.660672	46.182586
920206.189082	6541464.38045599963516	84	1	5.842671	45.937203
938248.98195299995132	6536004.142633	85	1	6.072620	45.881984
929817.2551599999424	6561370.07416199985892	86	1	5.976308	46.113142
949490.36415399995167	6553802.405042	91	1	6.226814	46.038092
958457.887741	6557757.33780399989337	92	1	6.344826	46.070315
939099.006794	6531558.99019499961287	94	1	6.081336	45.841688
977018.682354	6532595.957111	95	1	6.570001	45.836640
980667.59793399996124	6534078.139913	96	1	6.617834	45.848478
976713.81624199997168	6560035.86341799981892	97	1	6.582108	46.083605
961722.78838499996345	6540344.223244	99	1	6.377395	45.912403
953750.911358	6525723.649694	100	1	6.266840	45.783881
982393.61788699997123	6541793.32463899999857	101	1	6.644639	45.917165
927480.041987	6543992.597435	102	1	5.937699	45.957557
930620.953676	6527894.19691099971533	103	1	5.970406	45.811636
927471.05966799997259	6546716.573675	104	1	5.938892	45.982072
969631.67049599997699	6556411.835335	106	1	6.488478	46.053858
948026.830746	6544003.090958	7	1	6.202769	45.950459
954351.674603	6571577.55972099956125	72	1	6.299217	46.196210
951825.74373099999502	6570153.115551	74	1	6.265726	46.184339
954616.460072	6571883.90838399995118	82	1	6.302813	46.198866
953839.798594	6573720.35931899957359	87	1	6.293743	46.215681
955899.932293	6571740.425486	89	1	6.319364	46.197091
955500.971506	6574235.98479699995369	90	1	6.315554	46.219694
954262.2293	6571410.06746899988502	93	1	6.297967	46.194737
954640.484238	6570473.11377399973571	131	1	6.302360	46.186164
957858.39357399998698	6563609.843829	65	1	6.340279	46.123198
931692.73518399999011	6526430.98818899970502	1	1	5.983486	45.798105
932029.598342	6551075.920295	2	1	5.999870	46.019757
932745.988969	6524022.25009899958968	3	1	5.995859	45.776071
981761.22134499996901	6543628.48703	4	1	6.637579	45.933935
946052.894449	6542385.35148699954152	5	1	6.176467	45.936621
959883.12273499998264	6559151.774419	6	1	6.364017	46.082316
973174.912274	6564509.245586	8	1	6.538952	46.125283
984955.515463	6571534.58371699973941	9	1	6.695607	46.183621
927223.364329	6533033.88904399983585	10	1	5.929140	45.859029
967162.14045099995565	6540654.27228199969977	11	1	6.447673	45.913076
962914.82969299994875	6552821.641142	108	1	6.399687	46.024197
955284.475726	6555682.5685649998486	109	1	6.302683	46.052851
981998.23302699998021	6538096.976184	110	1	6.637347	45.884079
920838.67442799999844	6553635.30842099990696	111	1	5.856510	46.046524
928351.769728	6556340.370931	112	1	5.954910	46.068378
936280.646742	6531232.07050899975002	113	1	6.044889	45.839731
933047.747698	6540391.9955599997193	114	1	6.007762	45.923270
974398.822822	6557287.3437099996954	116	1	6.550582	46.059822
937144.53251699998509	6541088.098546	117	1	6.060931	45.928116
926714.02527199999895	6534645.5594549998641	118	1	5.923349	45.873702
984019.63851099996828	6561097.30756099987775	119	1	6.677188	46.090130
948395.098189	6556233.04402699973434	120	1	6.213943	46.060363
930600.99509099998977	6560433.149283	121	1	5.985990	46.104445
931936.4480479999911	6549710.72135599981993	123	1	5.997997	46.007504
957116.489855	6522165.948873	124	1	6.308201	45.750611
918854.12869599997066	6546797.255477	125	1	5.827696	45.985631
933798.721126	6528264.43367299996316	126	1	6.011478	45.813884
978557.732619	6562829.0923499995843	127	1	6.607596	46.107976
930849.96675499994308	6544802.6032199999318	128	1	5.981572	45.963709
936411.208036	6551651.159125	130	1	6.056751	46.023420
935941.806525	6549755.84256299957633	132	1	6.049741	46.006529
947396.22750899998937	6563719.5398409999907	71	1	6.204963	46.128088
957961.294236	6565588.786135	98	1	6.342695	46.140963
954925.041727	6567760.59751299954951	107	1	6.304574	46.161653
949601.504407	6565185.02917599957436	115	1	6.234277	46.140464
958807.173114	6566129.203071	122	1	6.353940	46.145502
955577.17431799997576	6565362.44686799962074	129	1	6.311715	46.139831
960639.17811099998653	6566806.52986	133	1	6.378028	46.150893
